id_localisation|pk_person|person|geographical_place|GP_type|lat|lon|localisation_type|begin|at_some_time|end|occours_before|occours_after|tag|original_begin|original_at_some_time|original_end|sequence
1647720|1647317|Costantino di Pietro Buttono (da Cipro)|S. Severo (743195)|Parrocchia|45.436115|12.343608|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1647756|1647336|Lazaro di Emanuele Mezia|S. Antonin  (742867)|Parrocchia|45.435556|12.346667|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1647765|1647355|Filippo Emanuele di Ambrogio (da Cipro)|S. Antonin  (742867)|Parrocchia|45.435556|12.346667|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1648030|1647832|Agostino di Domenico Zora (da Pedemonte, favro)|S. Geminiano (766291)|Parrocchia|45.433645|12.337151|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1648056|1647862|Bernardo di Antonio Dortoli (da Pedemonte, favro)|S. Aponal (742853)|Parrocchia|45.43794|12.33261|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1648069|1647882|Giacomo di Antonio Dortoli (da Pedemonte, favro)|S. Geminiano (766291)|Parrocchia|45.433645|12.337151|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1648106|1647965|Francesco di Lorenzo Larogheti (dalla diocesi di Bergamo, spader)|S. Basso (742888)|Parrocchia|45.434997|12.339327|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1648146|1647979|Battista di Andrea Tauri (dalla diocesi di Brescia, spader)|S. Zulian (743314)|Parrocchia|45.43581|12.33864|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1648159|1647993|Pietro Larogheti (spader)|S. Zulian (743314)|Parrocchia|45.43581|12.33864|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1648234|1049474|Taddeo di Girolamo (padovano, laner)|S. Pantalon  (743139)|Parrocchia|45.43572|12.32474|Abitazione|1600.0|1600.0|1600.0|||||1600.0||1
1648433|1648385|Tommaso di Federico Pasquini (da Songavazzo, vender fassi)|S. Moisè (743125)|Parrocchia|45.433056|12.336111|Abitazione|1600.0|1600.0|1600.0|||||1600.0||1
1648539|1648405|Cristoforo Costa (da Costa Volpino, vender stiore)|S. Provolo (743167)|Parrocchia|45.435122|12.342682|Abitazione|1600.0|1600.0|1600.0|||||1600.0||1
1648934|1249770|Paolo di Marchesino Pattirolo (da Salò)|S. Croce (742475)|Parrocchia|45.438927|12.320719|Abitazione|1600.0|1600.0|1600.0|||||1600.0||2
1648966|1648911|Cristoforo di Bartolomeo Della Imelda (da Bedizzole, cavapozzi)|S. Croce (742475)|Parrocchia|45.438927|12.320719|Abitazione|1600.0|1600.0|1600.0|||||1600.0||1
1648993|1648891|Bernardo di Graziolo Pezzoli (da Bedizzole)|S. Tomà (743251)|Parrocchia|45.43593|12.32777|Abitazione|1600.0|1600.0|1600.0|||||1600.0||1
1649035|1648287|Vittorio di Antonio Cassani (da Cremona, tentor)|S. Marina (743097)|Parrocchia|45.438499|12.339443|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1649076|1648306|Andrea di Benedetto Cassizi (da Bergamo, tentor)|Santa Maria Formosa (741960)|Parrocchia|45.4369|12.3411|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1649089|1648325|Carlo di Marco Baldi (da San Paolo D'Argon, tentor)|Santa Maria Formosa (741960)|Parrocchia|45.4369|12.3411|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1649126|1648455|Tommaso di Nicola (da Treviso, tesser da panni da seda)|S. Polo (743160)|Parrocchia|45.437056|12.329722|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1649152|1648482|Rocco di Giovanni Pietro Pironi (da Vicenza, tesser da panni da seda)|Angelo Raffael (743174)|Parrocchia|45.432506|12.318992|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1649165|1648506|Giovanni di Domenico Caparibo (da Venezia, tesser da panni da seda)|Angelo Raffael (743174)|Parrocchia|45.432506|12.318992|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1649200|1648661|Pietro di Gerolamo Nania (dalla diocesi di Treviso, tesser da panni da seda)|S. Geremia (742972)|Parrocchia|45.442756|12.325453|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
1649239|1648688|Antonio di Romano Romanini (da Brescia, tesser da panni da seda)|S. Geremia (742972)|Parrocchia|45.442756|12.325453|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1649252|1648706|Alvise di Paolo Pietro (da Treviso, tesser da panni da seda)|S. Geremia (742972)|Parrocchia|45.442756|12.325453|Abitazione|1603.0|1603.0|1603.0|||||1603.0||0
1649288|1648746|Cristoforo di Angelo Costantini (da Milano, laner)|S. Giovanni  Decollato (743293)|Parrocchia|45.44158|12.32787|Abitazione|1603.0|1603.0|1603.0|||||1603.0||1
